Country,Continent,Adult literacy rate (%),Gross national income per capita (PPP international $),Population (in thousands) total,Population median age (years),Community and traditional health workers density (per 10 000 population),General government expenditure on health as percentage of total expenditure on health,General government expenditure on health as percentage of total government expenditure,F2012,M2012,TeamSize,Gold,Silver,Bronze
Afghanistan,1,28,0,26088,4,4.4,900,0,1,5,6,0,0,1
Albania,2,98.7,6000,3172,13,11.3,1035,0,4,7,11,0,0,0
Algeria,3,69.9,5940,33351,7,9.5,9553,2534,18,21,39,1,0,0
Andorra,2,28,3000,74,22,22.7,46,0,2,4,6,0,0,0
Angola,3,67.4,3890,16557,4,5,222,0,30,5,35,0,0,0
Antigua and Barbuda,4,69.9,15130,84,11,11.3,13,0,2,3,5,0,0,0
Argentina,5,97.2,11670,39134,14,14.2,28900,0,43,99,142,1,1,2
Armenia,2,99.4,4950,3010,14,9.7,1255,0,4,21,25,0,1,2
Australia,6,68.65,33940,20530,18,17.2,21296,0,188,225,413,7,16,12
Austria,2,69.9,36040,8327,22,15.5,4467,0,31,39,70,0,0,0
Azerbaijan,2,98.8,5430,8406,9,3.6,2431,0,14,39,53,2,2,6
Bahamas,4,69.9,5970,327,10,13.9,21,0,11,15,26,1,0,0
Bahrain,1,86.5,34310,739,5,9.5,300,294,8,4,12,0,0,1
Bangladesh,7,47.5,1230,155991,6,7.4,2344,6091,1,4,5,0,0,0
Barbados,4,69.9,15150,293,13,11.9,63,0,0,6,6,0,0,0
Belarus,2,99.6,9700,9742,18,10.2,4647,0,77,95,172,2,5,5
Belgium,2,69.9,33860,10430,22,13.9,8305,0,44,74,118,0,1,2
Belize,5,70.3,7080,282,6,10.9,32,0,1,2,3,0,0,0
Benin,3,34.7,1250,8760,4,13.1,12,178,1,4,5,0,0,0
Bermuda,4,69.9,6540,8366.5,12,11.1,1145,0,3,5,8,0,0,0
Bhutan,7,69.9,4000,649,7,7.3,65,80,2,0,2,0,0,0
Bolivia,5,86.7,3810,9354,7,11.6,5997,0,2,3,5,0,0,0
Bosnia and Herzegovina,2,96.7,6780,3926,19,14,629,0,2,4,6,0,0,0
